path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/touchpad.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/touchpad.png,resourcepacks,229,229 B,238,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/sackboy/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/sackboy/icon.png,global_packs,654,654 B,664,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/left_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/left_stick.png,resourcepacks,272,272 B,282,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/dpad_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/dpad_right.png,resourcepacks,237,237 B,246,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/left_trigger_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/left_trigger_pressed.png,resourcepacks,4323,4.22 KB,1770,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/left_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/left_button_pressed.png,resourcepacks,6814,6.65 KB,1450,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/right_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/right_stick_button.png,resourcepacks,471,471 B,481,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/e_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/e_key_pressed.png,resourcepacks,320,320 B,330,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/left_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/left_button.png,resourcepacks,295,295 B,305,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/right_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/right_bumper.png,resourcepacks,269,269 B,279,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/right_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/right_button.png,resourcepacks,396,396 B,406,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/0_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/0_key_pressed.png,resourcepacks,401,401 B,411,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/mouse_scroll_down.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/mouse_scroll_down.png,resourcepacks,411,411 B,421,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_button_pressed.png,resourcepacks,325,325 B,330,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_stick_button.png,resourcepacks,557,557 B,567,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/back_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/back_button_pressed.png,resourcepacks,269,269 B,279,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/left_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/left_stick.png,resourcepacks,363,363 B,373,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/k_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/k_key.png,resourcepacks,760,760 B,717,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_key.png,resourcepacks,307,307 B,317,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_stick_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_stick_button_pressed.png,resourcepacks,475,475 B,485,.png
overrides/config/crash_assistant/lang/en_us.json,config/crash_assistant/lang/en_us.json,config,3793,3.70 KB,848,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/f11_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/f11_key.png,resourcepacks,400,400 B,410,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_trigger.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_trigger.png,resourcepacks,334,334 B,344,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/home_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/home_key.png,resourcepacks,402,402 B,412,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/right_bracket_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/right_bracket_key.png,resourcepacks,297,297 B,307,.png
overrides/config/crash_assistant/lang/ru_ru.json,config/crash_assistant/lang/ru_ru.json,config,3793,3.70 KB,848,.json
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/adv_time/comparison.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/adv_time/comparison.png,global_packs,85316,83.32 KB,85349,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/7_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/7_key_pressed.png,resourcepacks,769,769 B,727,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/back_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/back_button.png,resourcepacks,279,279 B,289,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/capture_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/capture_button_pressed.png,resourcepacks,6825,6.67 KB,1459,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/hd/dpad_down_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/hd/dpad_down_pressed.png,resourcepacks,6701,6.54 KB,1311,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/left_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/left_button.png,resourcepacks,4415,4.31 KB,1872,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/quote_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/quote_key_pressed.png,resourcepacks,497,497 B,507,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_bracket_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_bracket_key_pressed.png,resourcepacks,311,311 B,321,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/start_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/start_button.png,resourcepacks,340,340 B,350,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/sprites/widget/pack_highlighted.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/sprites/widget/pack_highlighted.png,global_packs,105,105 B,112,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/comma_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/comma_key.png,resourcepacks,495,495 B,505,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/left_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/left_stick_button.png,resourcepacks,332,332 B,342,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/right_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/right_bumper_pressed.png,resourcepacks,275,275 B,285,.png
overrides/config/modpack_defaults/resource_albums/natural.json,config/modpack_defaults/resource_albums/natural.json,config,477,477 B,228,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f8_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f8_key.png,resourcepacks,775,775 B,730,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/f6_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/f6_key.png,resourcepacks,347,347 B,357,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/mouse_scroll.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/mouse_scroll.png,resourcepacks,505,505 B,515,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_bumper.png,resourcepacks,323,323 B,333,.png
