source_format,path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,projectID,fileID,required
modrinth-mrpack,mods/enhancedblockentities-0.10.2+1.21.jar,201157,196.44 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/OVuFYfre/versions/HBZAPs3u/enhancedblockentities-0.10.2%2B1.21.jar,d81359d77fc7c5437f3e83e519dc2f869300f0cd,60e01db603fcf1392c0cd5c3ce742e568f7d445d83fe60828b21f546e7d29fb6947231f22d28e29b07f4bdcb767b6dc2a2398b4decea665ecba1166690a44d49,,,
modrinth-mrpack,mods/entity_model_features_1.21-neoforge-3.0.10.jar,487476,476.05 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/4I1XuqiY/versions/uysyqlsZ/entity_model_features_1.21-neoforge-3.0.10.jar,558162f7704a324555581db935766d017dbed2ca,4bec86548d90de217d3379a9f90b334c59811cc12a12f7859c61badbeff2a57731c1cd4b696438f02e178ae0e502f9642cd64e451ecdcc55bf21b2028341c7be,,,
modrinth-mrpack,mods/entity_texture_features_1.21-neoforge-7.0.8.jar,733270,716.08 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/BVzZfTc1/versions/p7wtsUSV/entity_texture_features_1.21-neoforge-7.0.8.jar,1b9fa548d04b67508a9ad63fe6fb69d6a315232f,f07da56e0b6c2ea6a02da41efb157fad3fc2d797bd6ee3170f3e8f2f5a5b91930d610015034a467eb042561b3e6d976d4ea4a491957063e56c2f1ef1bf77890c,,,
modrinth-mrpack,mods/entityculling-neoforge-1.10.2-mc1.21.1.jar,1582824,1.51 MB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/NNAgCjsB/versions/2tOn8XA2/entityculling-neoforge-1.10.2-mc1.21.1.jar,6c6f885e0359c2b0601cbec76fda406caeb49cca,237b9cb0df379341d27e22d20f9c87d1ec5bab571131df5d481da7f19450e0dd9eb42c0a5d6cccc913975f72ff4acf2af356765ff07383b20f3357b07db4bb2d,,,
modrinth-mrpack,mods/fabric-language-kotlin-1.13.6+kotlin.2.2.20.jar,7479598,7.13 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Ha28R6CL/versions/i6MmXDwA/fabric-language-kotlin-1.13.6%2Bkotlin.2.2.20.jar,05e9cc4108da5b50735fa6d8a79a18fcd5310d82,1d1d70bd4662ec1fcba57c9f16c3bceb185e8986119f266594f37d145d6d19772e5d6a50dcfec315e600c9eafd32f2b5f86bab72ae1954891297cde7fce62e9b,,,
modrinth-mrpack,mods/fabricskyboxes-0.7.4+mc1.21.jar,206127,201.30 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/YBz7DOs8/versions/yhQrKNAJ/fabricskyboxes-0.7.4%2Bmc1.21.jar,d7c80f23792afc6018da2477d46804114529afca,cab235d72e548fa2baad8ad6e6704c8345a6fa1bbe57791be31e30e0a464f97d4e1c55873b890f97a62116311e109bc7f9265b72fb615afda1948350dcb27113,,,
modrinth-mrpack,mods/fastquit-3.0.0+1.20.6.jar,58822,57.44 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/x1hIzbuY/versions/dIGKewCo/fastquit-3.0.0%2B1.20.6.jar,9c4bf4fc3292d627fe0eff85a96672a15f27338c,4832eb6d4a6a477800cc9c3abf73dc5169436b297e0ff11f82ed8f9feea766f9614f7281a57f987c2ea1b1744429536ab6d74305d31c0d5f10cbafa1f54b805b,,,
modrinth-mrpack,mods/ferritecore-7.0.3-neoforge.jar,121559,118.71 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/uXXizFIs/versions/x7kQWVju/ferritecore-7.0.3-neoforge.jar,9563692efb708b6b568df27a01ec52f6311928ef,19af89a2075bb10a63884fa853ebf84b02c79dc3242430ecdad056fd764fdcde367a7303276b329df01b0736e2ef264c5d80c7dc92c6aebd244f556a230bb417,,,
modrinth-mrpack,mods/forgified-fabric-api-0.116.7+2.2.0+1.21.1.jar,5551314,5.29 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Aqlf1Shp/versions/tIUhtT2C/forgified-fabric-api-0.116.7%2B2.2.0%2B1.21.1.jar,47b05580454707ac1f701c40bdbfbf86b15cbe9f,59aa2599fde40dcaaf210ce7d9d7f9e665c9173370708d7337c7230f2f0eb894a4f130bfbfb78b612d4faad25353d03ceab42691b1b3bcacd924dd72434732ef,,,
modrinth-mrpack,mods/globalpacks-neoforge-1.21.1-21.0.6.jar,27239,26.60 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/NRLPy2mk/versions/FPcUOp35/globalpacks-neoforge-1.21.1-21.0.6.jar,55cf667b16b81df9b8f7fead042cf2f732b21b85,5590a9066d84265a53e756fdb5b8872c383ffe069745756f1ff0fe54a315cefb5cc90ee3d0233a95f1dc2a7d68396b1102b9002d8b1aaf3ec476b52c7286c6b8,,,
