path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512
mods/[不死图腾插槽] charmofundying-fabric-6.5.0+1.20.1.jar,402847,393.41 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/b5GyyYkp/versions/bRynnjen/charmofundying-fabric-6.5.0%2B1.20.1.jar,96d1e220f2697a0c2a63fca8eca2b1690d14ca4e,6c86eb878c1e5e7a5958fd3b6c7a3219fe799cc20e6440f60a59fa7823c33843aaadbe8393d42f1643e173d29873feace60bab92d47a82b9ba748e0cd22d00dd
mods/[丰富的生态] ecologics-fabric-1.20.1-2.2.4.jar,2831307,2.70 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/NCKpPR0Z/versions/76Zti2GN/ecologics-fabric-1.20.1-2.2.4.jar,c595fcf2279977b87623462a492ca8ec357b65e7,699d13e96a0644d023945919adb1e19e7c00775ad5a7b7ba38388bef4798acdb3fba84a7fe17139e6f27fe14af4e942058d9c87b17601fbae92f0107dc5a2eef
mods/[丰饶食记] bountifulfares-1.2.1-1.20.1.jar,4829694,4.61 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/YgrSDjlb/versions/H4COb7fF/bountifulfares-1.2.1-1.20.1.jar,6a70eadded00ef59ef5f74a5aeebacfa0c3a16ec,4bc645467ede4291e72d6ee2e7de7cc3d8c2f90cba564cd4f83025d84d80262d3780b3a3fb1a11444ab67c69e88ec371142a30bb3d40fba0275253257c54d88b
mods/[交易站] TradingPost-v8.0.2-1.20.1-Fabric.jar,115067,112.37 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/8pcjMDgj/versions/Xc6BwCFB/TradingPost-v8.0.2-1.20.1-Fabric.jar,9607ab265701c88e7d4568f5e9318c59ca494880,38775803037e1abcae121629cdecbac475cea18c99f3c37c181918e9bb59c4086941d9ae33fc53c489f049873aaa99df75a4f7734366c4ec317f0755aad2ef87
mods/[传送石碑／指路石] waystones-fabric-1.20.1-14.1.19.jar,535215,522.67 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/LOpKHB2A/versions/LHID8HOT/waystones-fabric-1.20.1-14.1.19.jar,e0b3475df6ee7a3a8efe3b30b739d63caf4d0032,b3e3e9ca3a9d9fe1d086552b570bd256ad14d155d39df55c53d8757845e0493a19c9540f496887ce27a9f5c336f14eb554403ccb5a970f58dea6439ad1c8665a
mods/[修复】carpet-fixes-1.20-1.16.1.jar,630264,615.49 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/7Jaxgqip/versions/NBCnBGZj/carpet-fixes-1.20-1.16.1.jar,0e4f0f766ffbb059f8992e63987975f111e45780,6f3bb939ae660d7b85b3d258f7fe1431792d10f20d14d67b37130cd44fcb70cb6fbf6a51953cd6ab3f29699dd6073b8174baa08c044ac8b9a26d0f2fe88033a6
mods/[内存泄漏修复] memoryleakfix-fabric-1.17+-1.1.5.jar,49334,48.18 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/NRjRiSSD/versions/5xvCCRjJ/memoryleakfix-fabric-1.17%2B-1.1.5.jar,784bbbe9c64ac9d3d4ad19786c02291e607fcf4e,a7bf7429340d076f4b30602bc714280c3f5cb8e814e76e89296c8155e3355b33304a148e9218378a3383127e95b7ba47402506c687f1d58609704fe8cc60ab93
mods/[农夫乐事：重织] FarmersDelight-1.20.1-2.4.1+refabricated.jar,8056758,7.68 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/7vxePowz/versions/Z8UNayLO/FarmersDelight-1.20.1-2.4.1%2Brefabricated.jar,b8dded252730b2d47655813dde9d743785c0b107,4fa3d8756af6df2135f19b6b78972b098e75fbfb189252288f782ad00c2a56ce6b12320e8fe8975c250f0cc001daeafb24a91bb1c09717c01302225807599450
mods/[准星摇晃] CrosshairBobbing-1.10.jar,296551,289.60 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/paCz780b/versions/oLCo0Xy2/CrosshairBobbing-1.10.jar,216bdc20b75723c4cdca48d8ccb8b4652fcb4765,17c12c09ce706ae89ab60eb4a1456f9c0da7bbfadd6b03150e222b6420315456a008f31e15899a13f5e9f172e7b7bbab0a5f461557c28ebdd57b82cbb7d517a1
mods/[凤梨乐事] PineappleDelight-1.1.2-1.20.1-fabric.jar,102078,99.69 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/8wXnuOvg/versions/nsJi7BzY/PineappleDelight-1.1.2-1.20.1-fabric.jar,736162fceb2c06ffbd997277b3cf5365eb3761b5,77d2b74a394cce1dd3c89c40058200adc9e5eb7f96525a14512381493de37b6beb33e89cca2d39d38c94581fa5d84b27e1e23fd0b74d0aae5e3ebbbd18a64f65
mods/[初始套件] starterkit-1.20.1-7.4.jar,185182,180.84 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/6L3ydNi8/versions/8vUVrBt5/starterkit-1.20.1-7.4.jar,8c6f9cb038c7b41b317f79645c8110a9f31016ca,bb4d83fe928171bacd44d3c025f0dfbe6f42abb613f2b8d6a185cdd131a9856a9cec6cdc47c9130b4f417eab90bcc333e49453283a86f8bb28d478dc954eb3db
mods/[前置] Iceberg-1.20.1-fabric-1.1.25.jar,119018,116.23 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/5faXoLqX/versions/AiO84cp2/Iceberg-1.20.1-fabric-1.1.25.jar,365e70abde54faab847d2594420dc2bbd589ad3d,9eb15454de0d42aebbb6357dda55ddd7e634de58e71629b7344e6c6550cbb098002a8fe08aa827280d08ce5685c779398edd1d8fa66e3d4c1a0c43238250732c
